Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11473  ,1.965e+02   ,246.18  ,18  ,-200.38
11474  ,1.963e+02   ,255.98  ,18  ,-200.41
11475  ,1.961e+02   ,265.96  ,18  ,-200.3
11476  ,1.960e+02   ,276  ,18  ,-200.3
11477  ,1.960e+02   ,286.01  ,18  ,-200.36
11478  ,1.931e+02   ,-424.44  ,18  ,200.32
11479  ,1.960e+02   ,295.89  ,18  ,-200.38
11480  ,1.959e+02   ,305.38  ,18  ,-200.37
11481  ,1.956e+02   ,315.24  ,18  ,-200.36
11482  ,1.953e+02   ,325.25  ,18  ,-200.3
11483  ,1.951e+02   ,335.29  ,18  ,-200.3
11484  ,1.950e+02   ,345.31  ,18  ,-200.34
11485  ,1.949e+02   ,355.2  ,18  ,-200.38
11486  ,1.947e+02   ,364.66  ,18  ,-200.37
11487  ,1.955e+02   ,-316.91  ,18  ,200.36
11488  ,1.943e+02   ,374.59  ,18  ,-200.3
11489  ,1.958e+02   ,-307.16  ,18  ,200.35
11490  ,1.940e+02   ,384.63  ,18  ,-200.3
11491  ,1.960e+02   ,-297.76  ,18  ,200.37
11492  ,1.960e+02   ,-288.12  ,18  ,200.38
11493  ,1.937e+02   ,394.68  ,18  ,-200.3
11494  ,1.960e+02   ,-278.24  ,18  ,200.39
11495  ,1.936e+02   ,404.71  ,18  ,-200.33
11496  ,1.934e+02   ,414.61  ,18  ,-200.38
11497  ,1.931e+02   ,424.38  ,18  ,-199.97
11498  ,1.925e+02   ,440.44  ,18  ,-195.11
11499  ,1.926e+02   ,433.86  ,18  ,-200.34
11500  ,1.960e+02   ,278.2  ,18  ,200.39
11501  ,1.928e+02   ,-440.38  ,18  ,-184.12
11502  ,1.931e+02   ,-440.38  ,18  ,-174.17
11503  ,1.933e+02   ,-440.38  ,18  ,-164.21
11504  ,1.938e+02   ,-440.38  ,18  ,-144.31
11505  ,1.935e+02   ,-440.38  ,18  ,-154.26
11506  ,1.940e+02   ,-440.38  ,18  ,-134.36
11507  ,1.941e+02   ,-440.38  ,18  ,-124.4
11508  ,1.945e+02   ,-440.38  ,18  ,-104.5
11509  ,1.943e+02   ,-440.38  ,18  ,-114.45
11510  ,1.946e+02   ,-440.38  ,18  ,-94.548
11511  ,1.947e+02   ,-440.38  ,18  ,-84.595
11512  ,1.949e+02   ,-440.38  ,18  ,-74.643
11513  ,1.950e+02   ,-440.38  ,18  ,-54.738
11514  ,1.950e+02   ,-440.38  ,18  ,-64.69
11515  ,1.951e+02   ,-440.38  ,18  ,-44.786
11516  ,1.952e+02   ,-440.38  ,18  ,-34.833
11517  ,1.952e+02   ,-440.38  ,18  ,-24.881
11518  ,1.952e+02   ,-440.38  ,18  ,-14.929
11519  ,1.952e+02   ,-440.38  ,18  ,24.881
11520  ,1.946e+02   ,-440.38  ,18  ,94.548
11521  ,1.945e+02   ,-440.38  ,18  ,104.5
